TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TEKA3;8.23;;-0.03;0;0;18.21;-36.98;-54.76;-0.04;-5.31;-5.26;;0.02;0;0;0.04;-7.57;-13.48;7.09;-1.78;2.78;0.25;15.05;;;-3962.89;-300.06;0;4667292.45
TEKA4;9.8;;-0.03;0;0;18.21;-36.98;-54.76;-0.05;-5.31;-5.26;;0.02;0;0;0.04;-7.57;-13.48;7.09;-1.78;2.78;0.25;15.05;;16462.34;-3962.89;-300.06;0;4667292.45
TELB3;16;;-390.32;0.82;0.34;-50.89;13.72;-0.91;25.8;4.55;-19.83;-0.63;3.54;1.04;-0.57;5.7;-0.21;-0.09;2.96;0.41;0.59;0.1;36.54;;22850.83;19.41;-0.04;3.98;1308315401
TELB4;11.99;;-292.5;0.62;0.26;-50.89;13.72;-0.91;19.34;4.55;-19.83;-0.63;2.65;0.78;-0.42;5.7;-0.21;-0.09;2.96;0.41;0.59;0.1;36.54;;56387.64;19.41;-0.04;2.99;1308315401
TEND3;11.45;;-2.55;2.08;0.34;14.17;-7.25;-21.54;-7.58;-11.82;-4.07;1.12;0.55;7.13;-0.59;1.12;-81.66;-13.23;-11.34;0.16;0.84;0.61;-17.27;;42460922.77;5.5;-4.49;-0.03;1409429117
TESA3;48;;-13.3;1.62;0.52;15.86;9.39;-7.58;10.73;17.39;6.66;1.01;1.01;-11.1;-0.74;0.86;-12.18;-3.94;3.93;0.32;0.68;0.52;7.32;;;29.64;-3.61;0.83;1389696672
TFCO4;13.18;1.29;112.58;33.85;21.03;58.01;22.39;17.9;90.01;15.76;0.42;0.16;20.15;43;-74.23;3.15;30.07;18.68;25.5;0.62;0.38;1.04;22.58;26.89;1766540.41;0.39;0.12;6.09;2105083260
TGMA3;24.23;6.52;8.68;2;1.42;20.1;15.04;12.06;6.96;6.83;-0.29;-0.08;1.05;4.76;-2.73;2.62;23.01;16.31;17.84;0.71;0.29;1.35;4.8;12.17;4650354;12.13;2.79;0.14;1599250630
TIET11;12.54;;4.38;2.25;0.46;74.66;61.76;49.46;3.51;7.15;3.64;2.34;2.16;1031.49;-0.52;1;51.45;10.47;13.16;0.2;0.72;0.21;-5.19;23.78;;5.57;2.87;0.02;5004795801
TIET3;3.49;;6.09;3.13;0.64;74.66;61.76;49.46;4.88;7.15;3.64;2.34;3.01;1435.37;-0.72;1;51.45;10.47;13.16;0.2;0.72;0.21;-5.19;23.78;;1.11;0.57;0.03;5004795801
TIET4;3.51;;6.13;3.15;0.64;74.66;61.76;49.46;4.91;7.15;3.64;2.34;3.03;1443.59;-0.72;1;51.45;10.47;13.16;0.2;0.72;0.21;-5.19;23.78;;1.11;0.57;0.03;5004795801
TIMS3;14.95;5.53;17.87;1.43;0.65;50.2;15.48;8.83;10.19;10.89;0.41;0.06;1.58;-9.09;-0.78;0.7;7.99;3.63;11.38;0.45;0.55;0.41;5.81;10.4;107263865.3;10.46;0.84;-0.72;36191025750
TKNO3;69.63;;7.05;0.75;0.61;20.7;14.32;10.54;5.19;4.11;-0.75;-0.11;0.74;1.58;-1.31;3.65;10.69;8.7;12.5;0.81;0.19;0.83;19.94;;;92.42;9.88;-0.12;192152382.6
TKNO4;60;5.25;6.07;0.65;0.53;20.7;14.32;10.54;4.47;4.11;-0.75;-0.11;0.64;1.36;-1.13;3.65;10.69;8.7;12.5;0.81;0.19;0.83;19.94;;13242.2;92.42;9.88;-0.11;192152382.6
TOTS3;25.56;1.72;32.47;3.59;1.44;70.45;17.3;12;22.52;21.87;-1.39;-0.22;3.9;5.92;-3.5;1.71;11.05;4.45;8.35;0.4;0.57;0.37;11.23;39.19;107799083.8;7.12;0.79;1.79;15775202106
TOYB3;2.29;;-43.94;-4.97;4.03;24.06;-10.7;-10.96;-45;-47.62;-0.63;;4.81;-5.93;-11.89;0.49;-11.31;-9.18;11.93;-0.81;1.81;0.84;-33.11;;;-0.46;-0.05;0.47;71890222.22
TOYB4;2.5;;-47.96;-5.43;4.4;24.06;-10.7;-10.96;-49.12;-47.62;-0.63;;5.26;-6.47;-12.98;0.49;-11.31;-9.18;11.93;-0.81;1.81;0.84;-33.11;;;-0.46;-0.05;0.52;71890222.22
TPIS3;3.81;;-0.77;0.22;0.06;-1.15;-13.41;-25.48;-1.47;-15.29;-13.78;2.07;0.2;-0.47;-0.06;0.3;-28.47;-7.75;-5.86;0.27;0.73;0.3;-5.55;;222462.28;17.29;-4.92;0;167640000
TRAD3;0.98;;-2.21;0.57;0.53;30.23;-160.83;-202.48;-2.78;-1.7;1.17;-0.24;4.47;2.27;-0.75;4.92;-25.59;-24.02;-20.45;0.94;0.06;0.12;;;847257.13;1.73;-0.44;0;274544195.2
TRIS3;4.5;3.05;8.95;0.64;0.31;25.6;31.39;10.47;2.98;5.62;2.54;0.55;0.94;0.65;-1.22;2.83;7.17;3.5;10.9;0.49;0.49;0.33;11.47;21.81;5033925.9;7.02;0.5;0.54;839778921
TRPL3;29.99;3.54;8.34;1.13;0.58;60.07;64.9;43.32;5.57;6.81;2.08;0.42;3.61;7.77;-0.68;1.93;13.53;6.94;11.94;0.51;0.48;0.16;15.07;11.65;85435.85;26.57;3.6;-0.51;16528288977
TRPL4;21.93;4.84;6.1;0.83;0.42;60.07;64.9;43.32;4.07;6.81;2.08;0.42;2.64;5.69;-0.5;1.93;13.53;6.94;11.94;0.51;0.48;0.16;15.07;11.65;77157393.9;26.57;3.6;-0.38;16528288977
